"Type","Folder","Path","MB","Bytes"
"Rasm","src",".\src\assets\images\zumra-f1-harvest-field.jpeg","0,09","94738"
"Rasm","dist",".\dist\assets\zumra-f1-harvest-field-CTqWtzMo.jpeg","0,09","94738"
"Rasm","dist",".\dist\assets\zumra-f1-sliced-Bl5J8z16.jpg","0,08","83347"
"Rasm","src",".\src\assets\images\zumra-f1-sliced.jpg","0,08","83347"
"Rasm","dist",".\dist\assets\zumra-f1-label-D_FGl27B.jpg","0,07","78314"
"Rasm","src",".\src\assets\images\zumra-f1-label.jpg","0,07","78314"
"Rasm","dist",".\dist\assets\roll-trap-slide-2-CXFveyIN.jpg","0,06","61757"
"Rasm","src",".\src\assets\images\roll-trap-slide-2.jpg","0,06","61757"
"Video","public",".\public\0_Field_Green_1920x1080.mp4","24,16","25336881"
"Video","dist",".\dist\0_Field_Green_1920x1080.mp4","24,16","25336881"
